"","State_Full","Area_Name","POP_ESTIMATE_2019","POP_ESTIMATE_2018"
"1",NA,"United States","328239523","326687501"
"2","Alabama","Alabama","4903185","4887681"
"3","Alabama","Autauga","55869","55533"
"4","Alabama","Baldwin","223234","217855"
"5","Alabama","Barbour","24686","24872"
"6","Alabama","Bibb","22394","22367"
"7","Alabama","Blount","57826","57771"
"8","Alabama","Bullock","10101","10174"
"9","Alabama","Butler","19448","19631"
"10","Alabama","Calhoun","113605","114331"
"11","Alabama","Chambers","33254","33600"
"12","Alabama","Cherokee","26196","26014"
"13","Alabama","Chilton","44428","44163"
"14","Alabama","Choctaw","12589","12833"
"15","Alabama","Clarke","23622","23918"
"16","Alabama","Clay","13235","13294"
"17","Alabama","Cleburne","14910","15010"
"18","Alabama","Coffee","52342","51950"
"19","Alabama","Colbert","55241","55004"
"20","Alabama","Conecuh","12067","12292"
"21","Alabama","Coosa","10663","10643"
"22","Alabama","Covington","37049","36953"
"23","Alabama","Crenshaw","13772","13825"
"24","Alabama","Cullman","83768","83418"
"25","Alabama","Dale","49172","49143"
"26","Alabama","Dallas","37196","38294"
"27","Alabama","DeKalb","71513","71407"
"28","Alabama","Elmore","81209","81011"
"29","Alabama","Escambia","36633","36524"
"30","Alabama","Etowah","102268","102611"
"31","Alabama","Fayette","16302","16445"
"32","Alabama","Franklin","31362","31298"
"33","Alabama","Geneva","26271","26306"
"34","Alabama","Greene","8111","8209"
"35","Alabama","Hale","14651","14749"
"36","Alabama","Henry","17205","17173"
"37","Alabama","Houston","105882","104770"
"38","Alabama","Jackson","51626","51621"
"39","Alabama","Jefferson","658573","659429"
"40","Alabama","Lamar","13805","13882"
"41","Alabama","Lauderdale","92729","92604"
"42","Alabama","Lawrence","32924","32941"
"43","Alabama","Lee","164542","163656"
"44","Alabama","Limestone","98915","96177"
"45","Alabama","Lowndes","9726","9974"
"46","Alabama","Macon","18068","18321"
"47","Alabama","Madison","372909","367004"
"48","Alabama","Marengo","18863","19056"
"49","Alabama","Marion","29709","29750"
"50","Alabama","Marshall","96774","96170"
"51","Alabama","Mobile","413210","413908"
"52","Alabama","Monroe","20733","21062"
"53","Alabama","Montgomery","226486","226504"
"54","Alabama","Morgan","119679","119203"
"55","Alabama","Perry","8923","9070"
"56","Alabama","Pickens","19930","19980"
"57","Alabama","Pike","33114","33242"
"58","Alabama","Randolph","22722","22727"
"59","Alabama","Russell","57961","57784"
"60","Alabama","St. Clair","89512","88654"
"61","Alabama","Shelby","217702","215583"
"62","Alabama","Sumter","12427","12634"
"63","Alabama","Talladega","79978","80137"
"64","Alabama","Tallapoosa","40367","40535"
"65","Alabama","Tuscaloosa","209355","208319"
"66","Alabama","Walker","63521","63669"
"67","Alabama","Washington","16326","16402"
"68","Alabama","Wilcox","10373","10599"
"69","Alabama","Winston","23629","23693"
"70","Alaska","Alaska","731545","735139"
"71","Alaska","Aleutians East Borough","3337","3395"
"72","Alaska","Aleutians West Census Area","5634","5640"
"73","Alaska","Anchorage Municipality","288000","290521"
"74","Alaska","Bethel Census Area","18386","18219"
"75","Alaska","Bristol Bay Borough","836","880"
"76","Alaska","Denali Borough","2097","2032"
"77","Alaska","Dillingham Census Area","4916","4991"
"78","Alaska","Fairbanks North Star Borough","96849","98565"
"79","Alaska","Haines Borough","2530","2488"
"80","Alaska","Hoonah-Angoon Census Area","2148","2155"
"81","Alaska","Juneau City and Borough","31974","32037"
"82","Alaska","Kenai Peninsula Borough","58708","58561"
"83","Alaska","Ketchikan Gateway Borough","13901","13856"
"84","Alaska","Kodiak Island Borough","12998","13250"
"85","Alaska","Kusilvak Census Area","8314","8323"
"86","Alaska","Lake and Peninsula Borough","1592","1596"
"87","Alaska","Matanuska-Susitna Borough","108317","107115"
"88","Alaska","Nome Census Area","10004","10053"
"89","Alaska","North Slope Borough","9832","9850"
"90","Alaska","Northwest Arctic Borough","7621","7694"
"91","Alaska","Petersburg Borough","3266","3244"
"92","Alaska","Prince of Wales-Hyder Census Area","6203","6360"
"93","Alaska","Sitka City and Borough","8493","8554"
"94","Alaska","Skagway Municipality","1183","1169"
"95","Alaska","Southeast Fairbanks Census Area","6893","6937"
"96","Alaska","Valdez-Cordova Census Area","9202","9161"
"97","Alaska","Wrangell City and Borough","2502","2538"
"98","Alaska","Yakutat City and Borough","579","596"
"99","Alaska","Yukon-Koyukuk Census Area","5230","5359"
"100","Arizona","Arizona","7278717","7158024"
"101","Arizona","Apache","71887","71731"
"102","Arizona","Cochise","125922","126411"
"103","Arizona","Coconino","143476","142523"
"104","Arizona","Gila","54018","53801"
"105","Arizona","Graham","38837","37995"
"106","Arizona","Greenlee","9498","9448"
"107","Arizona","La Paz","21108","21039"
"108","Arizona","Maricopa","4485414","4402403"
"109","Arizona","Mohave","212181","209292"
"110","Arizona","Navajo","110924","110242"
"111","Arizona","Pima","1047279","1036554"
"112","Arizona","Pinal","462789","446806"
"113","Arizona","Santa Cruz","46498","46395"
"114","Arizona","Yavapai","235099","231772"
"115","Arizona","Yuma","213787","211612"
"116","Arkansas","Arkansas","3017804","3009733"
"117","Arkansas","Arkansas","17486","17726"
"118","Arkansas","Ashley","19657","20012"
"119","Arkansas","Baxter","41932","41624"
"120","Arkansas","Benton","279141","272266"
"121","Arkansas","Boone","37432","37385"
"122","Arkansas","Bradley","10763","10838"
"123","Arkansas","Calhoun","5189","5227"
"124","Arkansas","Carroll","28380","28097"
"125","Arkansas","Chicot","10118","10442"
"126","Arkansas","Clark","22320","22313"
"127","Arkansas","Clay","14551","14763"
"128","Arkansas","Cleburne","24919","24994"
"129","Arkansas","Cleveland","7956","7995"
"130","Arkansas","Columbia","23457","23586"
"131","Arkansas","Conway","20846","20825"
"132","Arkansas","Craighead","110332","108816"
"133","Arkansas","Crawford","63257","63379"
"134","Arkansas","Crittenden","47955","48363"
"135","Arkansas","Cross","16419","16630"
"136","Arkansas","Dallas","7009","7152"
"137","Arkansas","Desha","11361","11507"
"138","Arkansas","Drew","18219","18328"
"139","Arkansas","Faulkner","126007","125138"
